time,pc,cluster_size,actual_rate,required_rate,arrival_rate,idle_ues,queued_ues,active_ues,signal_power,interference,sum_tx_power,avg_antennas,sm0_cnt,sm1_cnt,sm2_cnt,sm3_cnt,bs_0_n_ants,bs_0_conn_mode,bs_0_sleep_mode,bs_1_n_ants,bs_1_conn_mode,bs_1_sleep_mode,bs_2_n_ants,bs_2_conn_mode,bs_2_sleep_mode,bs_3_n_ants,bs_3_conn_mode,bs_3_sleep_mode,bs_4_n_ants,bs_4_conn_mode,bs_4_sleep_mode,bs_5_n_ants,bs_5_conn_mode,bs_5_sleep_mode,bs_6_n_ants,bs_6_conn_mode,bs_6_sleep_mode,bs_7_n_ants,bs_7_conn_mode,bs_7_sleep_mode,bs_8_n_ants,bs_8_conn_mode,bs_8_sleep_mode,bs_9_n_ants,bs_9_conn_mode,bs_9_sleep_mode,bs_10_n_ants,bs_10_conn_mode,bs_10_sleep_mode,bs_11_n_ants,bs_11_conn_mode,bs_11_sleep_mode,bs_12_n_ants,bs_12_conn_mode,bs_12_sleep_mode,bs_13_n_ants,bs_13_conn_mode,bs_13_sleep_mode,bs_14_n_ants,bs_14_conn_mode,bs_14_sleep_mode,bs_15_n_ants,bs_15_conn_mode,bs_15_sleep_mode,bs_16_n_ants,bs_16_conn_mode,bs_16_sleep_mode,bs_17_n_ants,bs_17_conn_mode,bs_17_sleep_mode,bs_18_n_ants,bs_18_conn_mode,bs_18_sleep_mode,bs_19_n_ants,bs_19_conn_mode,bs_19_sleep_mode,bs_20_n_ants,bs_20_conn_mode,bs_20_sleep_mode,bs_21_n_ants,bs_21_conn_mode,bs_21_sleep_mode,bs_22_n_ants,bs_22_conn_mode,bs_22_sleep_mode,bs_23_n_ants,bs_23_conn_mode,bs_23_sleep_mode,bs_24_n_ants,bs_24_conn_mode,bs_24_sleep_mode,reward,pc_kw,se,qos_reward,drop_ratio
"Mon, 00:10",564.3812736886949,6,148.1519910666629,9.802609017310067,0.0,0,0,3,7.290911083888807e-12,1.7623671761746928e-15,13.799999999999999,15.12,9,8,0,8,12,-1,1,16,-1,1,16,-1,3,16,1,1,10,1,1,16,1,1,16,0,3,16,0,3,16,1,0,16,0,3,16,1,0,16,-1,0,16,-1,0,12,1,3,16,1,1,16,1,0,16,1,1,16,-1,0,16,1,3,16,-1,0,16,1,3,14,-1,3,16,1,0,16,-1,1,10,1,0,-0.16019069784431705,0.564381273688695,4.849602934585275,0.12199993900003044,0.0
"Mon, 00:11",604.937019334736,6,0.0,0.0,0.0,0,0,0,0.0,0.0,2.4000000000000004,14.72,2,16,0,7,10,-1,1,14,0,1,14,-1,3,16,1,1,8,1,1,16,1,1,14,0,3,16,0,3,16,1,1,16,-1,3,16,1,0,16,0,1,14,0,1,14,-1,1,16,1,1,16,1,1,16,-1,1,16,1,1,16,-1,3,16,1,1,16,-1,3,16,1,3,16,0,1,16,-1,1,8,1,0,-0.13202412203771946,0.604937019334736,0.0,0.17044438762964853,0.0
"Mon, 00:12",399.289178139262,6,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,14.24,0,7,4,14,8,-1,1,12,1,1,12,-1,3,16,1,1,8,1,1,16,1,2,16,-1,3,16,1,3,16,-1,1,16,-1,3,16,1,3,16,-1,2,14,-1,3,16,-1,2,14,0,3,14,0,3,16,-1,1,16,-1,3,16,-1,3,16,-1,2,14,-1,3,14,0,3,16,1,1,14,0,3,8,1,3,-0.199644589069631,0.399289178139262,0.0,0.0,0.0
"Mon, 00:13",390.24349197527556,6,51.664024601985616,3.4010038674390883,14.999999999999993,0,0,1,6.958942392678252e-12,0.0,4.2,13.84,3,4,0,18,10,1,1,10,1,0,10,-1,3,16,1,1,8,1,1,16,1,0,16,1,3,14,1,3,16,1,3,14,1,3,14,0,3,16,1,0,12,0,3,16,1,3,12,0,3,16,1,3,16,-1,3,14,-1,3,16,0,3,16,0,3,16,0,3,12,0,3,14,0,1,16,0,3,10,0,3,-0.1951217459876378,0.3902434919752756,4.908082337188634,0.0,0.0
"Mon, 00:14",414.41879816813486,6,0.0,0.0,14.999999999999993,0,0,0,0.0,0.0,5.6,14.08,4,3,2,16,12,-1,2,8,1,0,12,0,3,16,1,1,8,1,1,16,1,0,14,-1,2,16,0,3,14,1,3,16,1,3,12,1,3,16,1,0,14,1,3,16,0,3,14,-1,3,16,-1,3,16,1,3,16,-1,3,16,1,0,16,-1,3,14,0,3,10,-1,3,16,1,1,16,0,3,12,-1,3,-0.029876243083890086,0.41441879816813487,0.0,0.17733315600017735,0.0
"Mon, 00:15",349.291197083915,6,0.0,0.0,14.999999999999993,0,0,0,0.0,0.0,0.0,14.16,0,7,0,18,12,-1,1,8,1,3,14,0,1,16,1,1,8,1,1,16,1,1,14,1,1,14,0,3,16,0,3,16,1,3,10,0,3,16,1,3,16,-1,3,14,1,3,16,-1,3,16,0,3,16,0,3,16,0,3,16,1,3,14,1,3,16,0,3,12,0,3,14,1,1,14,0,3,14,0,3,-0.1746455985419575,0.349291197083915,0.0,0.0,0.0
"Mon, 00:16",348.5552350732439,6,73.63684938339651,19.210587444908075,44.99999999999998,0,0,2,3.8245815418220776e-12,0.0,2.8000000000000003,14.72,2,3,1,19,12,0,2,10,1,3,14,1,0,16,1,1,8,1,1,14,1,3,14,1,0,14,0,3,16,1,3,16,1,3,12,1,3,16,1,3,16,1,3,16,1,3,16,-1,3,16,-1,3,16,-1,3,16,1,3,16,1,3,16,-1,3,16,-1,3,14,0,3,16,0,1,16,0,3,16,-1,3,-0.17427761753662196,0.34855523507324393,3.4977503457113333,0.0,0.0
"Mon, 00:17",368.78039530114006,6,96.43318285624794,16.076464929010193,44.99999999999998,0,0,3,1.922407078355364e-12,2.4591933704556593e-15,4.0,14.88,3,3,0,19,10,-1,0,12,-1,3,16,0,3,16,1,1,8,1,1,14,-1,3,14,1,0,14,1,1,16,1,3,16,1,3,12,-1,3,16,0,3,16,1,3,16,1,3,16,0,3,16,1,3,16,1,3,16,1,3,16,1,3,16,1,3,16,1,3,16,0,3,16,1,0,16,0,3,16,-1,3,-0.18439019765057005,0.3687803953011401,3.044743790491964,0.0,0.0
"Mon, 00:18",411.3199801708974,6,73.3985755328497,3.736007608612989,44.99999999999998,0,0,2,3.166023052694279e-12,1.5829537750061483e-15,5.4,14.8,4,6,0,15,8,-1,0,14,1,3,16,0,3,16,1,1,8,1,1,12,1,3,14,1,0,14,1,1,16,1,3,16,1,0,12,1,3,16,1,3,16,0,3,16,1,3,16,1,1,16,1,3,16,-1,3,16,-1,1,16,1,3,16,-1,3,16,1,1,16,0,3,16,1,0,16,-1,3,16,0,3,-0.05232681008529538,0.4113199801708974,3.4946883778888176,0.1533331800001533,0.0
"Mon, 00:19",452.48309739858837,6,0.0,0.0,44.99999999999998,0,0,0,0.0,0.0,3.0,14.88,2,10,2,11,8,1,2,16,0,3,16,0,3,16,1,1,8,-1,1,10,1,3,14,1,0,16,0,2,16,-1,3,16,1,1,12,1,1,16,-1,3,16,0,3,16,-1,1,16,0,1,16,1,1,16,0,3,16,1,1,16,1,3,16,1,0,16,1,1,16,0,3,16,1,1,16,-1,3,16,0,3,-0.07924162219925748,0.4524830973985884,0.0,0.1469999265000367,0.0
"Mon, 00:20",415.5331311460842,6,59.214281518356074,3.489286309910777,44.99999999999998,0,0,1,1.1881409640263675e-11,0.0,5.4,14.88,4,4,2,15,8,1,0,16,1,1,16,0,3,16,1,1,8,-1,1,8,-1,3,14,1,3,16,0,3,16,1,3,16,1,2,14,1,0,16,-1,3,16,0,3,16,-1,3,16,0,3,16,0,2,16,-1,3,16,0,3,16,0,3,16,1,0,16,0,1,16,0,3,16,1,0,16,0,3,16,-1,3,-0.2077665655730421,0.4155331311460842,5.6253567442438275,0.0,0.0
"Mon, 00:21",453.59515663767485,6,0.0,0.0,44.99999999999998,0,0,0,0.0,0.0,0.0,15.04,0,10,5,10,8,1,1,16,-1,2,14,-1,3,16,1,2,10,0,1,10,1,3,16,1,3,16,1,3,16,0,2,16,-1,1,14,1,1,16,-1,3,16,1,1,16,0,3,16,-1,3,16,1,1,16,1,1,16,0,3,16,1,2,16,0,1,16,-1,1,16,1,2,16,1,1,16,-1,3,16,-1,3,-0.044797760318655455,0.45359515663767486,0.0,0.18199981800018197,0.0
"Mon, 00:22",413.38314517186825,6,40.971103017227286,3.1853686613634924,44.99999999999998,0,0,1,3.2119660624627767e-12,0.0,6.4,14.48,4,3,4,14,8,1,1,14,1,1,16,0,3,16,1,0,8,0,2,12,0,2,16,-1,3,16,1,3,14,0,3,16,1,0,14,1,2,16,1,0,16,1,3,16,-1,3,16,-1,3,14,1,3,16,-1,1,16,-1,3,16,0,3,14,1,3,14,0,2,14,0,3,16,1,0,14,-1,3,14,-1,3,-0.20669157258593412,0.41338314517186825,3.8922547866365917,0.0,0.0
"Mon, 00:23",472.1417675659304,6,36.09620854050814,0.9486343846387711,44.99999999999998,0,0,1,2.233829758025565e-12,0.0,5.6,14.4,4,5,0,16,8,1,1,12,1,1,16,-1,3,16,1,1,8,-1,3,14,1,1,16,1,3,14,0,3,16,1,3,16,0,3,12,1,0,16,0,0,16,-1,3,16,1,3,16,1,3,14,-1,3,16,-1,1,16,-1,3,16,-1,3,16,-1,3,12,1,0,16,0,3,16,1,0,14,0,3,12,0,3,-0.05340439978278255,0.47214176756593046,3.4291398113482727,0.18266648400018268,0.0
"Mon, 00:24",449.8070043500451,6,86.56395014688174,2.784660691173734,44.99999999999998,0,0,1,8.022741509486324e-11,0.0,6.200000000000001,14.16,5,5,1,14,8,1,1,10,1,0,14,0,3,16,1,1,8,1,3,16,-1,2,16,-1,3,12,1,3,16,-1,3,16,-1,3,10,1,0,16,0,1,16,-1,3,16,-1,3,16,-1,3,12,-1,3,16,-1,1,16,-1,3,16,-1,3,16,1,3,12,1,0,16,0,3,16,1,0,14,0,0,14,0,1,-0.055570338174853184,0.44980700435004506,8.223575263953766,0.16933316400016934,0.0
"Mon, 00:25",402.1082618679987,6,11.15116019855413,4.891102521531314,44.99999999999998,0,0,1,2.324399433495411e-13,0.0,4.0,14.32,3,4,3,15,10,1,0,10,0,3,16,-1,3,14,1,1,8,0,3,16,1,2,16,1,3,12,-1,3,16,1,3,14,0,3,10,0,1,16,-1,1,16,1,3,16,1,3,16,1,0,14,0,3,16,0,3,16,0,3,16,-1,3,16,-1,3,14,0,0,14,0,3,16,-1,1,14,-1,2,16,1,2,-0.013054318933811315,0.4021082618679987,1.0593602188626423,0.18799981200018803,0.0
"Mon, 00:26",421.18951328017977,6,93.90214298063988,13.717512486381066,44.99999999999998,0,0,2,5.066778513600424e-11,1.02050357605029e-13,3.2,14.48,2,6,2,15,10,1,1,8,0,3,16,0,2,16,1,1,8,1,3,14,1,1,16,-1,2,14,1,3,16,-1,3,16,-1,3,8,1,1,16,1,0,16,1,3,14,1,3,16,1,0,16,0,3,16,-1,3,16,1,3,16,1,3,16,1,3,14,1,1,16,0,3,16,1,1,16,0,3,16,0,3,-0.02459494263990389,0.4211895132801798,4.460351791580393,0.185999814000186,0.0
"Mon, 00:27",446.482775598655,6,96.80462643858945,1.9338200016949276,44.99999999999998,0,0,1,1.8289361666129538e-10,0.0,12.6,14.48,8,3,1,13,10,1,2,8,1,3,16,1,0,16,1,0,10,1,3,14,0,3,16,0,1,14,1,3,16,1,0,14,0,3,8,1,3,16,1,1,16,-1,3,14,-1,0,16,1,0,16,1,3,16,1,3,16,1,3,16,1,0,16,-1,0,14,-1,1,16,0,3,16,1,0,16,1,3,16,1,3,-0.046241476299283296,0.446482775598655,9.351062819814057,0.1769999115000442,0.0
"Mon, 00:28",438.216970823191,6,0.0,0.0,44.99999999999998,0,0,0,0.0,0.0,4.2,14.4,3,8,0,14,10,0,0,10,1,3,16,1,1,16,1,3,8,1,3,12,0,3,16,1,1,14,0,3,16,1,1,16,-1,3,10,1,3,16,1,3,16,0,3,14,0,3,16,1,0,14,-1,1,16,0,3,14,-1,1,16,1,1,16,1,0,14,1,1,16,0,3,16,1,1,16,-1,3,16,-1,3,-0.03377533741141017,0.438216970823191,0.0,0.18533314800018533,0.0
"Mon, 00:29",347.9018564768926,6,0.0,0.0,29.999999999999986,0,0,0,0.0,0.0,0.0,14.64,0,6,1,18,10,1,1,12,1,3,16,0,1,16,1,3,10,-1,3,10,0,3,16,1,3,14,1,1,16,-1,3,16,0,3,12,-1,3,16,-1,3,14,1,3,16,-1,3,16,0,3,14,1,2,16,-1,3,16,1,1,16,0,3,16,1,3,16,0,1,16,0,3,16,1,1,14,-1,3,16,-1,3,-0.1739509282384463,0.3479018564768926,0.0,0.0,0.0
"Mon, 00:30",332.54598660980247,6,0.0,0.0,29.999999999999986,0,0,0,0.0,0.0,1.4000000000000001,14.56,1,4,1,19,10,1,1,10,1,3,14,0,3,14,0,3,12,-1,3,8,0,3,14,1,3,14,1,1,16,1,3,16,-1,3,14,-1,3,16,-1,3,14,-1,0,16,1,3,16,-1,3,16,-1,2,16,0,3,16,1,3,16,1,3,16,-1,3,16,0,1,16,0,3,16,1,1,16,0,3,16,-1,3,-0.16627299330490125,0.3325459866098025,0.0,0.0,0.0
"Mon, 00:31",326.4950426502705,6,0.0,0.0,29.999999999999986,0,0,0,0.0,0.0,0.0,14.88,0,6,0,19,10,1,1,12,1,1,16,0,3,12,1,3,14,-1,3,8,0,3,16,-1,3,16,-1,3,16,-1,3,16,-1,1,16,-1,3,14,0,3,14,1,1,16,0,3,16,-1,3,16,-1,3,16,-1,3,16,-1,3,16,1,3,16,-1,3,16,0,1,16,0,3,16,0,1,16,0,3,16,-1,3,-0.16324752132513523,0.32649504265027046,0.0,0.0,0.0
"Mon, 00:32",331.8147547113697,6,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,14.8,0,4,1,20,8,1,1,10,1,1,16,0,3,14,-1,3,14,0,3,10,1,3,16,1,3,16,1,3,14,0,3,16,1,2,16,-1,3,12,0,3,16,1,3,16,1,3,16,-1,3,16,-1,3,16,-1,3,16,-1,3,16,1,3,16,-1,3,16,-1,1,16,0,3,16,0,1,16,0,3,16,-1,3,-0.16590737735568484,0.3318147547113697,0.0,0.0,0.0
"Mon, 00:33",333.27721850823536,6,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,14.96,0,5,1,19,8,1,1,8,1,1,16,0,3,16,-1,1,12,-1,3,12,1,3,16,1,3,16,1,3,16,1,3,16,0,2,16,-1,3,14,1,3,16,1,3,16,1,3,16,-1,3,16,-1,3,16,-1,3,16,1,3,16,1,3,16,-1,3,16,-1,1,16,0,3,16,0,1,16,0,3,16,-1,3,-0.1666386092541177,0.3332772185082354,0.0,0.0,0.0
"Mon, 00:34",343.14884913707886,6,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,14.88,0,8,0,17,8,1,1,8,1,1,16,0,3,16,1,1,12,1,3,14,1,3,16,1,3,14,1,3,14,1,3,14,0,3,16,-1,1,16,1,3,16,1,3,16,1,3,16,-1,1,16,-1,3,16,-1,3,16,1,3,16,1,3,16,-1,1,16,-1,1,16,0,3,16,0,1,16,0,3,16,-1,3,-0.17157442456853944,0.3431488491370789,0.0,0.0,0.0
"Mon, 00:35",372.96482979567895,6,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,14.88,0,6,3,16,8,1,1,8,1,1,16,0,3,16,1,1,10,0,3,16,1,2,16,1,3,12,1,3,16,1,3,16,0,3,16,1,2,16,0,3,16,1,3,16,1,3,16,1,2,16,-1,3,16,-1,3,16,1,3,14,0,3,16,1,1,16,-1,1,16,0,3,16,0,1,16,0,3,16,0,3,-0.18648241489783948,0.37296482979567896,0.0,0.0,0.0
"Mon, 00:36",365.23205246975135,6,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,14.48,0,7,0,18,8,1,1,8,1,1,14,0,3,16,1,1,8,0,3,16,1,1,16,1,3,10,1,3,16,1,3,16,0,3,14,0,3,16,1,3,16,1,3,16,0,3,16,-1,3,16,-1,3,16,-1,3,16,1,3,12,0,3,16,1,1,16,-1,1,16,0,3,16,0,1,16,0,3,16,0,3,-0.1826160262348757,0.3652320524697514,0.0,0.0,0.0
"Mon, 00:37",362.36196726840245,6,0.0,0.0,0.0,0,0,0,0.0,0.0,1.6,14.08,1,6,1,17,8,1,1,8,1,1,12,-1,3,16,1,1,8,0,3,16,1,1,16,1,3,8,1,3,16,1,3,14,0,3,12,0,3,16,1,3,16,1,3,16,1,3,16,-1,3,16,-1,3,16,-1,3,16,1,0,10,0,3,16,1,2,16,-1,1,16,0,3,16,0,1,16,0,3,16,0,3,-0.18118098363420124,0.3623619672684025,0.0,0.0,0.0
"Mon, 00:38",394.03884846629194,6,32.91135229312232,4.151026997799653,0.0,0,0,1,1.7518486503239124e-12,0.0,4.0,13.76,3,5,1,16,8,1,1,8,1,0,10,-1,2,16,1,1,8,1,3,16,1,0,16,1,3,8,1,3,16,1,3,12,0,3,10,0,3,16,-1,3,16,-1,3,16,-1,1,16,-1,3,16,-1,3,14,0,3,16,-1,3,10,0,3,16,0,1,16,-1,1,16,0,3,16,1,0,16,0,3,16,0,3,-0.19701942423314597,0.39403884846629195,3.1265784678466204,0.0,0.0
"Mon, 00:39",460.4823590325733,6,99.60002948206757,10.16622005142654,0.0,0,0,2,1.4944016695534408e-11,1.5961252254469517e-15,4.6,13.44,3,5,2,15,8,-1,2,10,1,1,8,0,1,16,1,1,8,1,3,16,1,1,14,-1,3,8,1,3,14,1,3,10,1,3,8,0,3,16,1,3,16,1,3,16,1,0,16,-1,3,16,1,3,16,-1,3,16,0,3,12,-1,2,14,0,1,14,1,0,16,0,3,16,1,0,16,-1,3,16,0,3,-0.04824136151610467,0.4604823590325733,4.783831230893053,0.18199981800018197,0.0
"Mon, 00:40",517.5601852557846,6,232.81483257103827,13.200512100858159,0.0,0,0,3,8.210561113071322e-10,6.6741857150516906e-15,8.2,13.6,6,4,0,15,8,-1,1,10,1,0,8,1,0,16,1,0,8,1,3,16,1,0,12,1,3,8,-1,3,12,-1,3,12,1,3,10,1,3,16,-1,3,16,-1,3,16,1,0,16,1,3,16,1,3,16,-1,3,16,1,3,14,1,1,16,1,0,14,1,1,16,0,3,16,1,1,16,-1,3,16,-1,3,-0.08211351429451483,0.5175601852557846,7.372469698082878,0.17666657833337748,0.0
"Mon, 00:41",430.0017623008823,6,54.98729341500772,9.144096710650528,0.0,0,0,1,8.813237730437227e-12,0.0,1.6,14.32,1,7,2,15,10,-1,2,12,0,1,10,0,1,16,0,1,10,1,3,16,0,1,14,-1,3,8,1,3,14,1,3,14,0,3,12,1,3,16,1,3,16,1,3,16,-1,1,16,-1,3,16,1,3,16,1,1,16,1,3,16,1,1,16,1,3,16,1,0,16,0,3,16,0,2,14,0,3,16,-1,3,-0.041000939150421856,0.43000176230088233,5.223792874425733,0.1739999420000193,0.0
"Mon, 00:42",468.5247484147622,6,0.0,0.0,0.0,0,0,0,0.0,0.0,1.6,14.0,1,9,1,14,10,-1,1,12,1,1,8,-1,1,14,1,1,8,0,3,14,1,1,16,1,3,10,1,3,12,1,3,12,0,3,14,-1,3,16,-1,3,16,0,2,16,1,1,14,0,3,16,-1,3,16,1,1,16,0,3,16,1,1,14,0,3,16,1,1,16,-1,3,16,1,0,16,0,3,16,0,3,-0.06492921020721176,0.4685247484147622,0.0,0.16933316400016934,0.0
"Mon, 00:43",398.90528139258436,6,0.0,0.0,0.0,0,0,0,0.0,0.0,1.4000000000000001,13.28,1,9,1,14,10,-1,1,10,1,1,8,1,1,12,1,1,8,1,3,16,1,1,16,1,2,10,1,3,10,1,1,10,0,3,12,0,3,14,1,1,14,1,1,16,1,1,12,1,3,16,-1,3,16,-1,3,16,-1,3,16,1,3,12,0,3,16,0,3,16,0,3,14,1,0,16,-1,3,16,0,3,-0.19945264069629218,0.39890528139258435,0.0,0.0,0.0
"Mon, 00:44",404.4402587841963,6,228.08550871557915,3.938927245769591,29.999999999999986,0,0,2,2.1504329650855465e-09,1.7134539546382726e-14,7.800000000000001,13.12,6,3,1,15,10,-1,1,10,1,0,8,1,0,14,1,3,8,1,3,16,1,0,16,-1,1,12,-1,3,12,1,0,8,0,3,10,0,3,14,1,3,12,1,3,16,1,1,10,0,3,16,1,0,16,-1,3,16,-1,0,16,-1,3,10,0,3,16,-1,3,16,0,3,14,1,2,16,-1,3,16,-1,3,-0.20222012939209816,0.4044402587841963,10.83406166399001,0.0,0.0
