id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,disconnects,num_rejects,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_operation_pc,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
10,[3529. 3627.  257.  565.],10081.0,201.60000000059856,[93.783 30.731  4.208 72.878],5827.34382973172,3840.0,232170.0,4013.0,199682.0,54594000000.0,767746.6556083771,28.902608023667256,0.6264457891082538,15.487550838210495,27.92321458655567,129.96875685457695,6.013846925778262,1.6177958535859538,0.31623846840591213,[0.465 0.152 0.021 0.361],0.8600680535814273,1.4062839425731345e-05,270803571.4277674,[17.505 17.991  1.275  2.803],19.047619047562495
11,[4317. 4483.  218.  378.],10081.0,201.60000000059856,[106.338  43.179   3.166  48.917],6425.7487076426205,4992.0,233293.0,3869.0,198231.0,58005000000.0,767746.6556083771,31.870591745078485,0.6512250768773219,15.37248288860232,29.998859570824887,137.65311584883963,6.393048536612205,1.7362364844757465,0.20980061501835134,[0.527 0.214 0.016 0.243],0.8497083067215905,1.3235870280292683e-05,287723214.28486,[21.414 22.237  1.081  1.875],24.761904761831243
12,[4433. 4594.  233.  370.],10081.0,201.60000000059856,[107.101  44.853   3.292  46.354],6492.639082609614,4414.0,241851.0,3754.0,204926.0,58689000000.0,42408.122489351226,32.20235632680176,0.6534470786628616,15.46414046225573,30.1740200940919,144.20108336244937,6.418833111027992,1.7668882055351651,0.2010713222894554,[0.531 0.222 0.016 0.23 ],0.8473233519811785,7.225906471289548e-07,291116071.4277071,[21.989 22.788  1.156  1.835],21.894841269776265
13,[4320. 4522.  226.  378.],10081.0,201.60000000059856,[104.759  46.392   3.327  47.122],6437.114520159005,3576.0,244623.0,3839.0,208589.0,58126500000.0,42408.122489351226,31.926964190850182,0.6432298383097218,15.65380418609265,29.95614796740877,141.99690244989088,6.216033586225945,1.724729689514929,0.2105941870846146,[0.52  0.23  0.017 0.234],0.8526957808546212,7.295832793880799e-07,288325892.8562868,[21.429 22.431  1.121  1.875],17.738095238042572
14,[3683. 3817.  202.  545.],10081.0,201.60000000059856,[90.27  35.091  3.78  72.459],5768.216401029288,3588.0,244437.0,4856.0,213130.0,54088500000.0,42408.122489351226,28.609346300115583,0.5936315841682601,15.546275171113976,27.55833578447687,124.91653264249113,5.57450609699819,1.519988096419006,0.274079952385676,[0.448 0.174 0.019 0.359],0.8719220085338962,7.840506297891645e-07,268296130.95158437,[18.269 18.934  1.002  2.703],17.797619047566204
15,[3719. 3809.  258.  529.],10081.0,201.60000000059856,[98.373 32.96   4.424 65.843],5998.233469718393,3840.0,221726.0,3362.0,190517.0,50485500000.0,42408.122489351226,29.75019080308732,0.6555302053368082,15.464735641305426,28.710421015919188,127.09301145785186,5.981409824169255,1.6004364646364448,0.29332407499256025,[0.488 0.163 0.022 0.327],0.8592451945193618,8.40005991608506e-07,250424107.14211363,[18.447 18.894  1.28   2.624],19.047619047562495
16,[4124. 4221.  194.  451.],10081.0,201.60000000059856,[101.083  38.149   2.95   59.418],6146.17800295198,5016.0,231030.0,4503.0,198904.0,55879500000.0,767746.6556083771,30.483969858903457,0.6284495585755585,15.257613332010713,29.017005040663964,128.5500937315339,6.065229665296524,1.6204741593095924,0.24620573355817876,[0.501 0.189 0.015 0.295],0.8609444660866554,1.3739325792256142e-05,277180059.5229866,[20.456 20.937  0.962  2.237],24.880952380878508
17,[4167. 4308.  230.  394.],10081.0,201.60000000059856,[104.85   41.963   3.278  51.509],6371.069723920929,4688.0,242844.0,3682.0,206849.0,58389000000.0,42408.122489351226,31.599393531996437,0.6428925701815573,15.41950203352842,29.698758455497707,140.96733053835632,6.309203956531351,1.7317726416030155,0.19998016069834343,[0.52  0.208 0.016 0.256],0.8517772726524023,7.263032846829236e-07,289627976.18961626,[20.67  21.369  1.141  1.954],23.253968253899213
18,[3770. 3971.  192.  492.],10081.0,201.60000000059856,[97.957 37.692  3.158 62.793],6062.771965856779,3968.0,241045.0,3887.0,208066.0,56134500000.0,42408.122489351226,30.070290476425548,0.6038686638230547,15.58317627219522,28.489534411149123,131.4431231856838,5.975623100697347,1.6255331812320206,0.26138279932546377,[0.486 0.187 0.016 0.311],0.863183223049638,7.554734163366775e-07,278444940.4753638,[18.7   19.697  0.952  2.44 ],19.682539682481245
19,[3943. 4063.  197.  513.],10081.0,201.60000000059856,[98.135 36.602  3.409 63.454],6033.494801032607,3492.0,231149.0,3846.0,200653.0,49746000000.0,42408.122489351226,29.925080850276306,0.6444003571074608,15.517706576728498,28.75954200219787,124.30908160899935,5.673695888871156,1.5387362364844757,0.25929967265152265,[0.487 0.182 0.017 0.315],0.8680677831182484,8.524931148102606e-07,246755952.38021976,[19.559 20.154  0.977  2.545],17.321428571377144
20,[2613. 2739.  221.  599.],10081.0,201.60000000059856,[89.277 22.784  3.22  86.319],5535.839156064913,2200.0,152523.0,2168.0,123934.0,45148500000.0,42408.122489351226,27.456795734872337,0.6512250768773274,15.74625533181232,27.336983761506534,114.51586114594899,7.151337937456877,1.6840591211189366,0.3937109413748636,[0.443 0.113 0.016 0.428],0.8125594172682152,9.393030220129401e-07,223950892.85647795,[12.961 13.586  1.096  2.971],10.912698412666012
21,[3120. 3180.  169.  541.],10081.0,201.60000000059856,[75.32  28.002  2.378 95.9  ],5117.536407982004,2876.0,212820.0,3061.0,188673.0,38980500000.0,42408.122489351226,25.38208713412331,0.5042158516020278,15.697252256720564,24.782803518457214,90.91048693465835,4.490606827461113,1.1815296101577224,0.3409383989683563,[0.374 0.139 0.012 0.476],0.8865379193684804,1.08793172199821e-06,193355654.7613307,[15.476 15.774  0.838  2.684],14.26587301583066
22,[4751. 4741.  106.   76.],10081.0,201.60000000059856,[128.57   61.707   2.042   9.281],7386.053002079995,3044.0,205778.0,2291.0,174039.0,50991000000.0,42408.122489351226,36.63353338994137,0.8447574645373167,15.64567007241345,34.63753749255775,151.6326627690928,7.424610593679098,1.9383989683563139,0.08243229838309692,[0.638 0.306 0.01  0.046],0.845760965700901,8.316785803249834e-07,252931547.61829665,[23.566 23.517  0.526  0.377],15.09920634916152
23,[2964. 3131.  198.  621.],10081.0,201.60000000059856,[81.885 26.569  3.503 89.643],5340.730354520881,2132.0,179425.0,3048.0,153021.0,42052500000.0,42408.122489351226,26.489090142450742,0.5629203452038649,15.772244816982441,26.060753493434373,99.79390226048807,6.002769878609851,1.439936514234699,0.3926197797837516,[0.406 0.132 0.017 0.445],0.8528410199247597,1.0084566313382373e-06,208593749.99938068,[14.702 15.531  0.982  3.08 ],10.575396825365427
24,[2768. 2858.  198.  581.],10081.0,201.60000000059856,[82.585 24.401  3.341 91.273],5343.813635161422,1980.0,163390.0,2773.0,135737.0,44452500000.0,42408.122489351226,26.504382676130646,0.5835532189267137,15.787917865291142,26.176646058782985,106.11688381426357,6.639007318944202,1.5706775121515724,0.3876599543696062,[0.41  0.121 0.017 0.453],0.830754636146643,9.540098417265896e-07,220498511.90410724,[13.73  14.177  0.982  2.882],9.82142857139941
